Adaptation ID,Open Comments,Adaptation Process Status,Compliance Status,Kosher Status,Graphics Status,Kosher Progress,Kosher Status.s,Staus for Compliance,Lookup Kosher Status,Proposal,Supplier,Buyer,Compliance,Kosher,Kosher Expirey Message,Request,Graphics,Buyer contacts for Adaptation,Supplier contact.s for Adaptation,Contractors contact.s for Adaptation,Compliance docs.,Graphic docs.,Kosher Docs.,Auto Number,Compliance Completion,dev | approved compliance records,dev | Approved Graphics Records,First Created,Graphics Completion,"ID",ID (lookup from Proposal),Kosher Progress %,Last Updated,Link to Project status,Link to Requests,Versioning
", 19 Jan, 2025",1,Complete,Approved,Has Kosher,Approval,1,Has Kosher,Approved,Has Kosher,,,Shufersal,"Compliance: 000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]","Kosher: 000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]",260 days remaining,,"Graphics: 000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]","Mrs. Meirav Markel, Food Technologist,Shufersal, Mrs. Shirin Elabk, Quality and Regulation Manager,Shufersal, Rabbi Meir Horowitz, Kosher Manager,Shufersal",,,AY.KL.S.Ü.14 REFINED SUNFLOWER OIL PRODUCT SPECIFICATION (TYPE 1).pdf,5L( Rectangular) LABEL DIE CUT 92x180.pdf | OLDDDDD  PRO008_SunflowerOil_5Lt_564539.pdf | PRO008_SunflowerOil_5Lt_CTN_564539_PRINT_2_APP.pdf,2023 Kosher Sertifikası (1).pdf,#141,1/1 approved ✅ ,1,1,"By Udi Stryk on 19 Jan, 2025",1/1 approved ✅ ,#141,,,"By SmartSuite Automation on 30 Jan, 2025",,,
"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 30 Jan, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Organic Whole Rice and Legumes Snack, Harduf - All Organics",,,,,,,,#205,0/0 approved ⏳,0,0,"By SmartSuite Automation on 30 Jan, 2025",0/0 approved ⏳,002243,002243,,"By SmartSuite Automation on 30 Jan, 2025",,,
"Serena, organic dry fruits, Shufersal-, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Serena, organic dry fruits, Shufersal-",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Serena, organic dry fruits, Shufersal",,,,,,,,#206,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002268,002268,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Wafers 250g , Shufersal- Crich, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Wafers 250g , Shufersal- Crich, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Wafers 250g , Shufersal",,,,,,,,#207,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002177,002177,,"By Operation Manager on 19 Feb, 2025",,,
"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,New  | New ,,"Frozen Vegetables, Shufersal- Ardo, Belgium",,,"Compliance: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal], Compliance: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Frozen Vegetables, Shufersal","Graphics: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal], Graphics: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,,,,,,#208,0/2 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/2 approved ⏳,002216,002216,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Potato Gnocchi - with/ without gluten, Shufersal",,,,,,,,#209,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002212,002212,,"By SmartSuite Automation on 19 Feb, 2025",,,
"double cookey gluten free, Shufersal- Coppenrath Feingebäck GmbH, Germany, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"double cookey gluten free, Shufersal- Coppenrath Feingebäck GmbH, Germany",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"double cookey gluten free, Shufersal",,,,,,,,#210,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002192,002192,,"By SmartSuite Automation on 19 Feb, 2025",,,
"CORNFLAKES SHUFERSAL 750 GR., Shufersal- Crispy food, Denmark, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"CORNFLAKES SHUFERSAL 750 GR., Shufersal- Crispy food, Denmark",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"CORNFLAKES SHUFERSAL 750 GR., Shufersal",,,,,,,,#211,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002198,002198,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Dutch Butter Cookies, Shufersal- Daelmans, Netherlands, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Dutch Butter Cookies, Shufersal- Daelmans, Netherlands",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Dutch Butter Cookies, Shufersal",,,,,,,,#212,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002205,002205,,"By SmartSuite Automation on 19 Feb, 2025",,,
"sfogliette salty snacks, 180 gr, Shufersal- EuroSnacks/ FornoDamiani, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"sfogliette salty snacks, 180 gr, Shufersal- EuroSnacks/ FornoDamiani, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"sfogliette salty snacks, 180 gr, Shufersal",,,,,,,,#213,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002208,002208,,"By SmartSuite Automation on 19 Feb, 2025",,,
