Template name Title,Articale subject,Files and Images,Description,Articale
Details for Contract,,Details for Contract טופס פרטי ספק עבור חוזה (למילוי עי הספק).docx,,
open supplier,,open supplier.ENG.docx,,
Packaging law,,טופס חוק האריזות באנגלית מקוצר.xlsx,,
products opening sheet,,טופס פתיחת פריטי מותג פרטי בעברית ובאנגלית.xlsx,,
Whats Bishul israel?,Kosher,," bishul or pass Israel?
Bishul Yisrael means that a Jew must participate in cooking certain foods, like meat, fish, and grains, to ensure they are kosher. Pas Yisrael applies to baked goods like bread and pastries, requiring Jewish involvement in the baking process. These rules are followed by those observing stricter kosher standards.






","To incorporate Bishul Yisrael and Pas Yisrael (Afiyat Yisrael) into the kosher certification process, these additional procedures ensure that certain foods meet specific higher standards of kosher laws. Here’s how these processes fit into the workflow:
1. 
Preparation & Research (Enhanced for Bishul Yisrael & Pas Yisrael)
Bishul Yisrael: For foods that fall under the category requiring Bishul Yisrael (Jewish involvement in the cooking process), such as certain cooked vegetables, grains, fish, or meat, additional research is required to ensure that the cooking process involves direct participation by a Jew.
Pas Yisrael: For Pas Yisrael (baked goods), Jewish participation in the baking process is also necessary. This includes bread, cakes, and other baked products.
Kosher Agency Selection: Choose a certification agency that has expertise in supervising these more stringent requirements. Not all products need these certifications, but for markets or communities that require them (particularly Orthodox Jewish communities), it is important to comply.
2. 
Application (Specifying Bishul Yisrael & Pas Yisrael)
When applying for kosher certification, the company must indicate whether they require Bishul Yisrael or Pas Yisrael certification for the relevant food products.
In the application, clarify that Jewish involvement in cooking or baking will be required, and provide details on how this will be implemented during the production process.
3. 
Initial Inspection (Enhanced for Bishul Yisrael & Pas Yisrael)
Rabbinical Visit for Bishul Yisrael: During the inspection, the rabbi will verify that the cooking processes for applicable foods require Bishul Yisrael. This involves:
Ensuring that a Jew is involved in igniting the flame used for cooking or adjusting the heat of the cooking equipment.
Alternatively, if a pilot light is used, the Jewish individual must ignite the pilot light that is used to ignite the actual flame for cooking.
Rabbinical Visit for Pas Yisrael: For baked goods that require Pas Yisrael, the rabbi will confirm that a Jewish individual either ignites the oven or actively participates in the baking process, even if only by lighting the oven.
Review of Documentation: The rabbi will review the facility’s procedures to ensure that any new batches involving Bishul Yisrael or Pas Yisrael foods continue to follow these standards.
Changes and Compliance: If any procedures or ingredients need to be adjusted to comply with these stricter requirements, the rabbi will provide guidance on the necessary changes.
4. 
Kashering (Kosherization) for Bishul Yisrael & Pas Yisrael
Equipment Considerations: The equipment used for Bishul Yisrael or Pas Yisrael foods may need to be kashered (made kosher) specifically for these products if they have previously been used for non-kosher or non-Bishul Yisrael/Pas Yisrael production.
Separation of Non-Bishul Yisrael and Bishul Yisrael Products: If the facility produces both Bishul Yisrael and non-Bishul Yisrael products, there must be clear separation in terms of equipment and production processes to prevent any cross-contamination.
5. 
Ongoing Supervision (Hashgacha)
Supervision for Bishul Yisrael: The kosher certification agency will require regular checks to ensure that a Jewish individual is consistently involved in the cooking process. This can be done by the rabbi directly or a trained staff member under rabbinical supervision.
Supervision for Pas Yisrael: Similarly, for Pas Yisrael products, a Jewish individual must continue to be involved in the baking process, with supervision to ensure compliance.
6. 
Certification
Bishul Yisrael Certification: Once all processes are verified to meet the Bishul Yisrael standard, the product will be labeled with a certification that explicitly states it is Bishul Yisrael. This is crucial for certain consumers, especially in the Orthodox community.
Pas Yisrael Certification: For baked goods, the product will be labeled as Pas Yisrael, confirming that it meets the higher standard of kosher for baked goods.
7. 
Ongoing Communication & Compliance
Reporting Changes: Any changes in equipment, suppliers, or procedures must be reported to the certification agency to ensure that Bishul Yisrael and Pas Yisrael standards are maintained.
Inspection Visits: The agency will likely require ongoing inspection visits more frequently than standard kosher certifications to ensure that the cooking and baking processes continue to involve the appropriate level of Jewish participation.
8. 
Special Considerations for Bishul Yisrael & Pas Yisrael
Market-Specific Requirements: Not all products require these certifications, but if you are targeting consumers who adhere strictly to Bishul Yisrael or Pas Yisrael standards, this added layer of certification will be necessary.
Holiday Production: For products made specifically for Jewish holidays like Passover, Bishul Yisrael and Pas Yisrael rules still apply, in addition to the stricter kosher laws governing Passover food.
Summary of Additional Procedures
Bishul Yisrael: Requires Jewish participation in the cooking process for certain foods, especially those that are not typically eaten raw and are considered a significant part of a meal.
Pas Yisrael: Requires Jewish involvement in the baking process for bread and similar products.
Supervision: Requires ongoing supervision to ensure compliance with these higher standards throughout production.
These enhanced procedures for Bishul Yisrael and Pas Yisrael ensure that food products meet specific kosher standards for more observant consumers, particularly in Orthodox Jewish communities."
Kinds of kosher are valid in israel?,Kosher,,"*Easy to understand description of up to 60 words -   kinds of kosher valid in Israel
In Israel, kosher levels range from Regular Kosher, certified by the Chief Rabbinate, to stricter standards like Mehadrin and Badatz for ultra-Orthodox communities. There’s also Chalak Beit Yosef for Sephardic Jews and Kosher for Passover during the holiday, ensuring no leavened products are used.












","In Israel, there are several levels of kosher certification, ranging from basic kosher to stricter forms known as Mehadrin or Super Kosher. Here’s an overview of the main types:
Regular Kosher: Certified by the Chief Rabbinate of Israel or local rabbinates, this is the most common level of kosher, suitable for most Israeli consumers. It ensures that food meets basic Jewish dietary laws but may not follow stricter interpretations.
Kosher Mehadrin: A higher level of kosher supervision, Mehadrin (meaning ""enhanced"") follows stricter guidelines, particularly regarding milk and meat separation, the use of glatt meat (ensuring no imperfections in the animal’s lungs), and stringencies in cooking processes.
Badatz (Beit Din Tzedek): Several ultra-Orthodox communities in Israel have their own Badatz kosher certification, which is highly trusted by these communities. Some of the well-known Badatz organizations include Badatz Eida Chareidis, Badatz Agudat Yisrael, and Badatz Beit Yosef (for Sephardic communities).
Chalak Beit Yosef: Specific to Sephardic traditions, Chalak Beit Yosef ensures stricter standards of glatt kosher meat according to the rulings of Rabbi Yosef Caro, author of the Shulchan Aruch. It is important for Sephardic Jews who follow these particular guidelines.
Kosher for Passover: During Passover, an additional kosher standard, Kosher for Passover, ensures that products are free from chametz (leavened grains) and meet the strict laws of Passover, which may vary between different communities (e.g., Ashkenazi vs. Sephardic).
Super Kosher (Charedi or Ultra-Orthodox standards): This is the strictest form of kosher, often supervised by Badatz or other ultra-Orthodox agencies. It ensures absolute adherence to the most stringent interpretations of Jewish law, covering every aspect of food preparation and processing.
These levels of kosher certification cater to various degrees of observance within the Jewish community in Israel, from general kosher to ultra-Orthodox requirements."
Procedure to receive kosher certification from israel's Chief rabbinate?,Kosher,,"To receive kosher certification from Israel’s Chief Rabbinate, contact them, submit product details (ingredients, suppliers, processes), and allow inspection of the production facility. If the facility meets kosher standards, it will be approved. Supervision may be required, and the certification allows the product to carry the Rabbinate’s kosher symbol for import into Israel.














","To initiate the process of receiving kosher certification from the Chief Rabbinate of Israel for imported food products, you can contact them directly. Here's how to add the necessary details, including the emails, phone numbers, and a list of approved kosher authorities in Europe, the USA, and South America.
1. 
Contact the Chief Rabbinate of Israel
Email: You can contact the Kashrut Department at kosher@rabbinate.gov.il or the general inquiries at info@rabbinate.gov.il.
Phone: Reach them at +972 2-5313187 or +972 2-5313111.
Website: More information can be found at The Chief Rabbinate of Israel.
2. 
Submit Documentation
Submit required documents and information, including:
Ingredient list.
Supplier details.
Production process.
Existing kosher certifications (if applicable).
You can send these via the Rabbinate's email or through their online submission platform (if available).
3. 
Inspection of the Production Facility
A rabbinical representative from the Israeli Rabbinate or a trusted local rabbinic authority will inspect the production facility abroad. This may include:
Verifying the sources of ingredients and ensuring that the facility adheres to kosher standards.
Checking equipment to ensure it's suitable for kosher production (may require koshering if previously used for non-kosher products).
4. 
Approval of Ingredients
All ingredients used must be kosher and verified by the Rabbinate. If necessary, substitutions for non-kosher ingredients must be made to meet kosher standards.
5. 
Supervision and Production
The Rabbinate may require ongoing supervision, particularly during production, to ensure compliance. A rabbi may need to be present for critical stages of production.
6. 
Kashering Process (if required)
If the equipment or facility has previously been used for non-kosher production, a kashering process may be required. This might involve boiling, heating, or thorough cleaning of the equipment under rabbinical supervision.
7. 
Final Certification
After inspection and verification, if the product meets all kosher standards, the Rabbinate will issue a kosher certificate for the product.
You will then be able to label the product with the Rabbinate’s kosher symbol and import it into Israel.
8. 
Ongoing Supervision
The certification may require periodic inspections to ensure continued compliance. Any changes in ingredients, suppliers, or production methods must be reported to the Rabbinate for reevaluation.
This process ensures that imported food products comply with the kosher standards recognized by the Rabbinate in Israel."
Israel's Chief rabbinate-  Approved Kosher Certification Authorities,Kosher,,"Approved kosher certification authorities include globally recognized organizations like OU (Orthodox Union), OK Kosher, Star-K, Kof-K, and Badatz. These agencies ensure products meet kosher standards through inspection and supervision. They are trusted worldwide and accepted by Israel’s Chief Rabbinate for kosher certification of imported foods.















","List of Approved Kosher Certification Authorities for Europe, USA, South America, and International
Europe
London Beth Din (KLBD) – UK
Email: info@kosher.org.uk
Phone: +44 20-8343-6255
Website: Kosher London Beth Din
Rabbinat Kashrut Strasbourg – France
Email: contact@rks.fr
Phone: +33 3-8835-0905
Website: Rabbinat Kashrut Strasbourg
Kosher Europe – Belgium
Email: info@kosher.be
Phone: +32 2-647-0976
Website: Kosher Europe
USA
Orthodox Union (OU) – USA
Email: kosher@ou.org
Phone: +1 212-563-4000
Website: OU Kosher
Star-K – USA
Email: info@star-k.org
Phone: +1 410-484-4110
Website: Star-K Kosher
Kof-K – USA
Email: info@kof-k.org
Phone: +1 201-837-0500
Website: Kof-K Kosher
CRC (Chicago Rabbinical Council) – USA
Email: info@crcweb.org
Phone: +1 773-465-3900
Website: CRC Kosher
South America
Vaad HaRabanim of Buenos Aires (Kashrut Argentina) – Argentina
Email: kosher@vaad.org.ar
Phone: +54 11-4981-8136
Website: Vaad HaRabanim
Rabbinical Council of São Paulo (BKA) – Brazil
Email: contato@bkasp.org.br
Phone: +55 11-3663-2534
Website: BKA Kosher
CONIB Kashrut Certification – Brazil
Email: contato@conib.org.br
Phone: +55 11-3663-2534
Website: CONIB
International Kosher Agencies
OK Kosher – Global
Email: info@ok.org
Phone: +1 718-756-7500
Website: OK Kosher
Chabad-Lubavitch International Kashrut
Email: info@lubavitch.com
Phone: +1 718-774-4000
Website: Chabad Lubavitch Kashrut
Kosher Certification Services – Europe, Asia, South America
Email: info@koshercertification.com
Phone: +1 888-285-6974
Website: Kosher Certification Services
NSF International Kosher Certification
Email: kosher@nsf.org
Phone: +1 800-673-8010
Website: NSF Kosher
International Kosher Council (IKC) – Global
Email: info@internationalkosher.org
Phone: +1 718-336-8541
Website: IKC
These agencies provide global kosher certification services, covering various regions and industries. They are widely accepted by consumers and authorities, including the Chief Rabbinate of Israel, for kosher compliance of imported food products."
Kosher Certification Process,Kosher,,"This table tracks the Kosher certification process for food products. It includes the product name, certifying body, application status, review progress, symbol design inclusion, certificate receipt, renewal date, and additional notes. This comprehensive overview allows companies to monitor their Kosher certification journey, ensuring compliance with Jewish dietary laws and maintaining proper documentation for each product.
","Column Name
Description
Product Name
Name of the product requiring Kosher certification.
Kosher Certifying Body
Name of the Kosher certifying authority (e.g., Badatz, OU).
Kosher Certification Application Submitted
Status of the Kosher certification application (e.g., Pending, Submitted, Approved).
Kosher Certification Review Status
Track whether the product is under review, awaiting updates, or approved.
Kosher Symbol Design Included
Ensure the Kosher symbol is included in the label design.
Kosher Certificate Received
Status of the Kosher certificate (Pending, Received, Expired).
Kosher Renewal Date
The expiration date of the Kosher certification and when a renewal application is required.
Comments/Notes
Are there any additional notes or comments related to Kosher certification?"
Required Shipping Documents for Import,Freight,,"When importing goods into Israel, including olive oil, essential documents like the commercial invoice, packing list, bill of lading, and certificates (e.g., health, origin, insurance) ensure customs compliance and smooth clearance.","When importing goods into Israel, including products like olive oil from Spain, several shipping documents are required to ensure compliance with customs regulations. Here’s a list of the essential shipping documents for import to Israel:
### **1. Commercial Invoice**
- **Description**: A detailed document issued by the seller or exporter that lists the products being shipped, their quantities, unit prices, total cost, and any terms of sale (Incoterms, such as EXW, FOB, CIF, etc.).
- **Details to Include**:
- Seller and buyer information.
- Product description and HS code (e.g., for olive oil, HS Code 1509.10).
- Unit price and total value.
- Incoterms (e.g., CIF, FOB).
- Payment terms and method.
- **Purpose**: Customs authorities use the invoice to assess duties and taxes.
### **2. Packing List**
- **Description**: A document detailing the contents of the shipment, including the number of cartons, the weight of the shipment, dimensions, and a breakdown of the items in each package.
- **Details to Include**:
- Number of packages/cartons.
- Contents of each carton (e.g., 6 bottles per carton).
- Weight (gross and net) and dimensions.
- Total weight of the shipment.
- **Purpose**: Helps customs authorities verify the shipment contents and is also used for logistics planning.
### **3. Bill of Lading (B/L) or Air Waybill (AWB)**
- **Description**: A legal document issued by the shipping or freight company that serves as a receipt for the shipment. It details the goods being shipped and acts as a contract of carriage.
- **Ocean Freight**: **Bill of Lading** (B/L).
- **Air Freight**: **Air Waybill** (AWB).
- **Details to Include**:
- Shipper’s and consignee’s information.
- Vessel name and voyage details (for B/L).
- Description of goods and number of packages.
- Destination port (e.g., Ashdod Port).
- **Purpose**: Required to release the goods from the port or airport. It proves ownership of the goods during transport and delivery.
### **4. Certificate of Origin**
- **Description**: A document issued by the chamber of commerce in the exporting country that certifies the country of origin of the goods. For olive oil, this would state that the product is manufactured in Spain.
- **Details to Include**:
- Exporter’s details.
- Manufacturer and country of origin.
- Product description.
- **Purpose**: This document is required to determine eligibility for certain preferential trade agreements or tariff reductions. Israel has trade agreements with the European Union that might affect duties.
### **5. Import License or Permit**
- **Description**: In some cases, an import license or permit may be required, especially for regulated products such as food, medical supplies, or chemicals. For olive oil, an import permit may be necessary depending on Israeli regulations.
- **Details to Include**:
- Importer’s details.
- Approval from relevant authorities (e.g., the Ministry of Health for food products).
- **Purpose**: Ensures that the importer has authorization to import regulated goods like food products.
### **6. Health Certificate**
- **Description**: For food products like olive oil, a **Health Certificate** or **Sanitary Certificate** may be required. This document confirms that the product complies with health and safety regulations in the exporting country and is safe for consumption.
- **Issued by**: A relevant food safety authority in the exporting country (e.g., the Spanish Ministry of Agriculture).
- **Purpose**: Verifies that the imported food products meet Israeli food safety and health standards.
### **7. Kosher Certificate (If Applicable)**
- **Description**: If the product is certified kosher, a **Kosher Certificate** from a recognized authority is required.
- **Details to Include**:
- Certification from an accredited kosher certification body.
- **Purpose**: Required for products marketed as kosher, particularly in Israel where many consumers require kosher products.
### **8. Insurance Certificate**
- **Description**: A document proving that the shipment is insured, particularly for high-value or bulk shipments like olive oil. It provides coverage details in case of damage or loss during transit.
- **Details to Include**:
- Insurance policy details.
- Goods covered and the insured value.
- Conditions of coverage (e.g., CIF insurance).
- **Purpose**: Protects the buyer and seller from financial losses due to shipping-related risks.
### **9. Import Declaration**
- **Description**: A document submitted to the Israeli customs authorities declaring the imported goods. It includes detailed information on the shipment, such as value, weight, HS code, and the relevant customs duties and taxes.
- **Details to Include**:
- Customs value.
- HS code and product description.
- Details for VAT and any applicable duties.
- **Purpose**: Required for the release of goods into Israel. Used by customs to calculate taxes and duties.
### **10. VAT Registration Certificate**
- **Description**: The importer must be registered for VAT with the **Israel Tax Authority**, and a VAT registration number is often required on import documentation.
- **Purpose**: Ensures that VAT is paid on the imported goods and that the importer can claim any allowable VAT deductions.
---
### **Summary of Required Shipping Documents for Import to Israel**
1. **Commercial Invoice**: Detailed invoice with product and transaction information.
2. **Packing List**: Description of the shipment’s contents, weight, and dimensions.
3. **Bill of Lading (B/L) or Air Waybill (AWB)**: Proof of shipment and ownership.
4. **Certificate of Origin**: Verifies the country of manufacture.
5. **Import License/Permit**: Required for regulated products (e.g., food).
6. **Health Certificate**: Confirms the food product’s safety.
7. **Kosher Certificate**: Needed if the product is certified kosher.
8. **Insurance Certificate**: Provides details of shipment insurance.
9. **Import Declaration**: Submitted to Israeli customs for clearance.
10. **VAT Registration Certificate**: Ensures compliance with VAT regulations.
These documents are essential for the smooth importation of goods to Israel, and ensuring they are accurate and complete will help avoid delays and potential penalties during the import process."
