Company name Title,Open Comments,Company name,Category,Contartor's Website,Company email address,Country,Link to contacts,"Contractor by: foodX, Buyer, Supplier?",Company phone number(s),Company logo,Contractor's Address,Link to Supplier/ Buyer numbers,Link to Kosher process
"UPS, Israel",0,UPS,Courier services,https://www.ups.com/track?loc=he_IL&requester=ST/,wecare@ups.co.il,Israel,,,+972 1 700 700 877,,"Lod, Center District, Israel",,
"TNT, Israel",0,TNT,Courier services,https://www.tnt.com/express/iw_il/site/home.html#,tntil@fedex.com,Israel,,,+972 1 700 700 339,,"Lod, Center District, Israel",,
"FEDEX, Israel",0,FEDEX,Courier services,https://www.fedex.com/he-il/home.html,israel@fedex.com,Israel,,,+972 1 700 700 339,,"Lod, Center District, Israel",,
"EMS/ Intl. postal service, Israel",0,EMS/ Intl. postal service,Courier services,https://israelpost.co.il/%D7%9E%D7%A2%D7%A7%D7%91-%D7%9E%D7%A9%D7%9C%D7%95%D7%97%D7%99%D7%9D/,,Israel,,,,,"Lod, Center District, Israel",,
"DHL, Israel",0,DHL,Courier services,https://mydhl.express.dhl/il/he/home.html#/getQuoteTab,ilcsi2@dhl.com,Israel,,,+972 1 700 707 345,,"Lod, Center District, Israel",,
"K MESHULASH / TRIANGLE K INC., USA",0,K MESHULASH / TRIANGLE K INC.,Kosher,,,USA,,,,"K MESHULASH  TRIANGLE  logo 2.jpeg, K MESHULASH  TRIANGLE  logo.png","1240 EAST 29 STREET YORK BROOKLYN, NEW YORK 11210",,"Kosher: 000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]"
"הרב יצחק בעלינאוו, Italy",0, הרב יצחק בעלינאוו,Kosher,,mendelblnw@gmail.com,Italy,,,+39 389 179 6629,convert.png, 21 Soderini Via  מילאנו איטליא יע''א ,,"Kosher: 000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal], Kosher: 000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]000071 - mini
  potato gnocchi 500gr [Ciemme, Italy][Shufersal], Kosher: 000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]"
"Rabbi, Moshe Malki, Italy",0,"Rabbi, Moshe Malki",Kosher,,consulentekosher@gmail.com,Italy,"Rabbi Moshe Malki, Kosher Manager",,+39 340 670 7908,,,,
"1kosher, Belgium",0,1kosher,Kosher,https://www.1kosher.eu/en/who-are-we/,"rabbihadad@ekosher.eu, rabbi@1kosher.org",Belgium,"Rabbi Manachem Hadad, General manager",,+32 475 28 59 67,1k-uai-258x260.png,Bruxelles,"110621, Ardo, Belgium","Kosher: 000277 - Finely chopped tomatoes crop 2022 [Solana, Italy][ProPlus], Kosher: 000028 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][]000027 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][]000026 - penne gluten free 400 gr [Pastificio Mennucci S.P.A, Italy][Shufersal]"
"Kosher Holland, Netherlands",0,Kosher Holland,Kosher,https://www.kosherholland.nl/,weill@kosherholland.nl,Netherlands,,,,image.png,,,"Kosher: 000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]000326 - wafers gluten free 21.5g*3 [Helwa, Netherlands][Shufersal]"
