Invoice ID,Receipt ID,Invoice ID/ Name (From Priority),Invoice Issue Date,Invoice/ Receivable files,Differnce between Shipping & Invoice (ILS),Order,Shipping (Lookup),Shipping,Shipment number (Buyer's ref.),Shipping Amount,Commission from Buyer (Eur/ $),VAT Amount ₪,"Grand total, before VAT ₪",Invoice Total Amount (After VAT) ₪,Exchange Rate (EU Central Bank),Received amount ₪,Buyer Company,Supplier,Status,Invoice type,Invoice description,Invoice company (Issuer),First Created,Order line (Order Line)
"20064, 10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy",,20064,11/7/2025,20064.pdf,30984,Order: 000498-SHF [115514],"10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy | 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy","10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy",,30984,1084.44,,,,4.1525,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 10:19 PM",
"20065, 10  - Order: 000409-SHF [115474],Coppenrath Feingebäck GmbH, Germany",,20065,16/6/2025,20065.pdf,21066.57,Order: 000409-SHF [115474],"10  - Order: 000409-SHF [115474],Coppenrath Feingebäck GmbH, Germany","10  - Order: 000409-SHF [115474],Coppenrath Feingebäck GmbH, Germany",,21066.57,631.9971,,,,4.1525,,Shufersal,"Coppenrath Feingebäck GmbH, Germany",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 10:27 PM",
"20066, 10, 20, 30  - Order: 000476-SHF [115594],Pastificio Mennucci S.P.A, Italy",,20066,16/6/2025,20066.pdf,19645.08,Order: 000476-SHF [115594],"10, 20, 30  - Order: 000476-SHF [115594],Pastificio Mennucci S.P.A, Italy","10, 20, 30  - Order: 000476-SHF [115594],Pastificio Mennucci S.P.A, Italy",,19645.08,589.3524,,,,4.1525,,Shufersal,"Pastificio Mennucci S.P.A, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 10:33 PM",
"20067, 140  - Order: 000217-SHF [115501],Ardo, Belgium",,20067,16/6/2025,20067.pdf,29399.76,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","140  - Order: 000217-SHF [115501],Ardo, Belgium",,29399.76,881.9928,,,,4.1525,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 10:39 PM",
"20068, 120  - Order: 000314-SHF [115550],Ardo, Belgium",,20068,16/6/2025,20068.pdf,23796.72,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","120  - Order: 000314-SHF [115550],Ardo, Belgium",,23796.72,713.9016,,,,4.1525,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 10:44 PM",
"20061, 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy",,20061,15/6/2025,20061.pdf,30996,Order: 000498-SHF [115514],"10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy | 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy","90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy",,30996,1084.86,,,,4.1525,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 8:22 PM",
"20062, 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy",,20062,15/6/2025,20062.pdf,30996,Order: 000498-SHF [115514],"10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy | 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy","50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy",,30996,1084.86,,,,4.1525,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 8:32 PM",
"20063, 10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy",,20063,15/6/2025,20063.pdf,31008,Order: 000498-SHF [115514],"10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy | 90, 100, 110, 120  - Order: 000498-SHF [115514],La Doria, Italy | 50, 60, 70, 80  - Order: 000498-SHF [115514],La Doria, Italy","10, 20, 30, 40  - Order: 000498-SHF [115514],La Doria, Italy",,31008,1085.28,,,,4.1525,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 16 Jun, 2025 at 8:39 PM",
"20037, 1, 2  - Order: 000495-SCH [5200015812],Pata S.P.A, Italy",,20037,1/6/2025,20037.pdf,11673.45,Order: 000495-SCH [5200015812],"1, 2  - Order: 000495-SCH [5200015812],Pata S.P.A, Italy","1, 2  - Order: 000495-SCH [5200015812],Pata S.P.A, Italy",,11673.45,233.469,,,,3.9374,,Schestowitz,"Pata S.P.A, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 7 May, 2025 at 12:41 PM",
"20038, 1, 2  - Order: 000496-SCH [5200016254],Pata S.P.A, Italy",,20038,1/6/2025,20038.pdf,10059,Order: 000496-SCH [5200016254],"1, 2  - Order: 000496-SCH [5200016254],Pata S.P.A, Italy","1, 2  - Order: 000496-SCH [5200016254],Pata S.P.A, Italy",,10059,201.18,,,,4.0984,,Schestowitz,,New,Commision invoice,,Foodz.ex,"By Success Management on 7 May, 2025 at 12:43 PM",
