Order Status history ID,Order Status history Title,Open Comments,Order,Status From,Status To,Status Change Date,Previous Status Change Date,Duration (h),Last Updated,First Created,Description
#009,: Status change From “New”  To  “Order Confirmed”,0,,New,Order Confirmed,"14 Jul, 2024 at 9:09 AM","14 Jul, 2024 at 9:07 AM",0.00,"By SmartSuite Automation on 14 Jul, 2024","By SmartSuite Automation on 14 Jul, 2024",
#010,: Status change From “Order Confirmed”  To  “Sent To Vendor”,0,,Order Confirmed,Sent To Vendor,"14 Jul, 2024 at 9:17 AM","14 Jul, 2024 at 9:09 AM",0.13,"By SmartSuite Automation on 14 Jul, 2024","By SmartSuite Automation on 14 Jul, 2024",
#011,: Status change From “Sent To Vendor”  To  “Confirmed By Vendor”,0,,Sent To Vendor,Confirmed By Vendor,"14 Jul, 2024 at 9:18 AM","14 Jul, 2024 at 9:17 AM",0.02,"By SmartSuite Automation on 14 Jul, 2024","By SmartSuite Automation on 14 Jul, 2024",
#012,: Status change From “New”  To  “Sent To Vendor”,0,,New,Sent To Vendor,"14 Jul, 2024 at 10:04 AM",,0.00,"By SmartSuite Automation on 14 Jul, 2024","By SmartSuite Automation on 14 Jul, 2024",
#013,: Status change From “New”  To  “Confirmed By Vendor”,0,,New,Confirmed By Vendor,"14 Jul, 2024 at 10:04 AM","14 Jul, 2024 at 9:08 AM",0.94,"By SmartSuite Automation on 14 Jul, 2024","By SmartSuite Automation on 14 Jul, 2024",
#014,: Status change From “Confirmed By Vendor”  To  “Closed”,0,,Confirmed By Vendor,Closed,"14 Jul, 2024 at 10:50 AM","14 Jul, 2024 at 9:18 AM",1.52,"By SmartSuite Automation on 14 Jul, 2024","By SmartSuite Automation on 14 Jul, 2024",
#015,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"15 Jul, 2024 at 1:29 PM",,0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#016,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"15 Jul, 2024 at 1:29 PM",,0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#017,: Status change From “Closed”  To  “Sent To Vendor”,0,,Closed,Sent To Vendor,"15 Jul, 2024 at 1:30 PM","15 Jul, 2024 at 1:29 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#018,: Status change From “Closed”  To  “Sent To Vendor”,0,,Closed,Sent To Vendor,"15 Jul, 2024 at 1:30 PM","15 Jul, 2024 at 1:29 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#020,: Status change From “Closed”  To  “Confirmed By Vendor”,0,,Closed,Confirmed By Vendor,"15 Jul, 2024 at 3:30 PM",,0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#021,: Status change From “Confirmed By Vendor”  To  “Partially Shipped”,0,,Confirmed By Vendor,Partially Shipped,"15 Jul, 2024 at 3:39 PM","15 Jul, 2024 at 3:30 PM",0.15,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#022,: Status change From “Partially Shipped”  To  “Confirmed By Vendor”,0,,Partially Shipped,Confirmed By Vendor,"15 Jul, 2024 at 3:40 PM","15 Jul, 2024 at 3:39 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#023,: Status change From “Confirmed By Vendor”  To  “Shipped”,0,,Confirmed By Vendor,Shipped,"15 Jul, 2024 at 3:54 PM","15 Jul, 2024 at 3:40 PM",0.24,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#024,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 3:54 PM","15 Jul, 2024 at 3:40 PM",0.24,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#025,: Status change From “Confirmed By Vendor”  To  “Partially Shipped”,0,,Confirmed By Vendor,Partially Shipped,"15 Jul, 2024 at 3:58 PM","15 Jul, 2024 at 3:54 PM",0.06,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#026,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 3:58 PM","15 Jul, 2024 at 3:54 PM",0.06,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#027,: Status change From “Confirmed By Vendor”  To  “Shipped”,0,,Confirmed By Vendor,Shipped,"15 Jul, 2024 at 4:10 PM","15 Jul, 2024 at 3:58 PM",0.21,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#028,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:10 PM","15 Jul, 2024 at 3:58 PM",0.21,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#029,: Status change From “Confirmed By Vendor”  To  “Shipped”,0,,Confirmed By Vendor,Shipped,"15 Jul, 2024 at 4:11 PM","15 Jul, 2024 at 4:10 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#030,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:11 PM","15 Jul, 2024 at 4:10 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#031,: Status change From “Confirmed By Vendor”  To  “Cancel Verification”,0,,Confirmed By Vendor,Cancel Verification,"15 Jul, 2024 at 4:12 PM","15 Jul, 2024 at 4:11 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#032,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:12 PM","15 Jul, 2024 at 4:11 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#033,: Status change From “Confirmed By Vendor”  To  “Shipping Started”,0,,Confirmed By Vendor,Shipping Started,"15 Jul, 2024 at 4:13 PM","15 Jul, 2024 at 4:12 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#034,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:13 PM","15 Jul, 2024 at 4:12 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#035,: Status change From “Confirmed By Vendor”  To  “Canceled”,0,,Confirmed By Vendor,Canceled,"15 Jul, 2024 at 4:14 PM","15 Jul, 2024 at 4:13 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#036,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:14 PM","15 Jul, 2024 at 4:13 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#037,: Status change From “Confirmed By Vendor”  To  “Shipping Started”,0,,Confirmed By Vendor,Shipping Started,"15 Jul, 2024 at 4:20 PM","15 Jul, 2024 at 4:14 PM",0.09,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#038,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:20 PM","15 Jul, 2024 at 4:14 PM",0.09,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#039,: Status change From “Confirmed By Vendor”  To  “Shipped”,0,,Confirmed By Vendor,Shipped,"15 Jul, 2024 at 4:20 PM","15 Jul, 2024 at 4:20 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#040,: Status change From “Confirmed By Vendor”  To  “Confirmed By Vendor”,0,,Confirmed By Vendor,Confirmed By Vendor,"15 Jul, 2024 at 4:20 PM","15 Jul, 2024 at 4:20 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#041,: Status change From “Confirmed By Vendor”  To  “Partially Shipped”,0,,Confirmed By Vendor,Partially Shipped,"15 Jul, 2024 at 4:29 PM","15 Jul, 2024 at 4:20 PM",0.13,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#042,: Status change From “Partially Shipped”  To  “Confirmed By Vendor”,0,,Partially Shipped,Confirmed By Vendor,"15 Jul, 2024 at 4:29 PM","15 Jul, 2024 at 4:29 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#043,: Status change From “Confirmed By Vendor”  To  “Shipped”,0,,Confirmed By Vendor,Shipped,"15 Jul, 2024 at 4:31 PM","15 Jul, 2024 at 4:29 PM",0.03,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#044,: Status change From “Shipped”  To  “Confirmed By Vendor”,0,,Shipped,Confirmed By Vendor,"15 Jul, 2024 at 4:31 PM","15 Jul, 2024 at 4:31 PM",0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#045,: Status change From “Confirmed By Vendor”  To  “Partially Shipped”,0,,Confirmed By Vendor,Partially Shipped,"15 Jul, 2024 at 4:32 PM","15 Jul, 2024 at 4:31 PM",0.02,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#046,: Status change From “Partially Shipped”  To  “Confirmed By Vendor”,0,,Partially Shipped,Confirmed By Vendor,"15 Jul, 2024 at 4:33 PM","15 Jul, 2024 at 4:32 PM",0.01,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#047,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"15 Jul, 2024 at 5:42 PM",,0.00,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
