Title,Open Comments,Product,Date,Incoterms,Currency,Auto Number,Description,First Created,Last Updated,Unit price (Purchase/Base price) $/€
__10/12/2024,0,,10/12/2024,EXW (Ex Works),Euro,#023,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 17 Jan, 2025",
__10/12/2024,0,,10/12/2024,EXW (Ex Works),Euro,#027,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
__10/12/2024,0,,10/12/2024,FOB (Free On Board),Euro,#074,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 17 Jan, 2025",
__10/12/2024,0,,10/12/2024,FOB (Free On Board),Euro,#085,,"By SmartSuite Automation on 10 Dec, 2024","By Success Management on 16 Jan, 2025",
__10/12/2024,0,,10/12/2024,EXW (Ex Works),Euro,#106,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
__10/12/2024,0,,10/12/2024,,Euro,#110,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
__10/12/2024,0,,10/12/2024,EXW (Ex Works),Euro,#135,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 17 Jan, 2025",
__17/2/2025,0,,17/2/2025,FOB (Free On Board),Euro,#156,sweetcorn supersweet kernel no cutting size,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",
__17/2/2025,0,,17/2/2025,FOB (Free On Board),Euro,#161,"Ardo broccolimix 4x2,5kg","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.42
__22/2/2025,0,,22/2/2025,FCA (Free Carrier),Euro,#194,Sunflower oil,"By Operation Manager on 22 Feb, 2025","By Operation Manager on 22 Feb, 2025",6.75
__27/2/2025,0,,27/2/2025,FOB (Free On Board),USD,#207,750 ml. Olive oil - mueloliva,"By Operation Manager on 27 Feb, 2025","By Operation Manager on 27 Feb, 2025",3.87
__27/2/2025,0,,27/2/2025,FOB (Free On Board),USD,#208,750 ml. Olive oil - mueloliva,"By Operation Manager on 27 Feb, 2025","By Operation Manager on 27 Feb, 2025",4.08
__22/4/2025,0,,22/4/2025,FOB (Free On Board),Euro,#232,"Munchies- Rice Crackers & Nut Mix 
","By Operation Manager on 22 Apr, 2025","By Operation Manager on 22 Apr, 2025",2.88
__22/4/2025,0,,22/4/2025,FOB (Free On Board),USD,#233,"Coated Peanuts Mix 10 kg
","By Operation Manager on 22 Apr, 2025","By Operation Manager on 22 Apr, 2025",2.88
"000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal]__10/12/2024",0,"000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#041,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal]__10/12/2024",0,"000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#118,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
