Status Subject,Action Details,Auto Number,Due Date: Start Date,Due Date: End Date,Files and Images,First Created,First Created  date,Last Updated,Link to Adaptation Process,Link to Orders,Link to Proposals & Samples,Link To Shipping,Next Actions to Be Taken,Open Comments,Request,Status
Check if supplier send us the prices for the products and send them to Galit,,#011,,,,"By Operation Manager on 2 Feb, 2025","By Operation Manager on 2 Feb, 2025","By Operation Manager on 19 Feb, 2025",,,,,,0,"Cookies COOPERNATH, Leiman Schlussel Ltd",Complete
Send Pnina sammples,,#012,,,,"By Operation Manager on 2 Feb, 2025","By Operation Manager on 2 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"cracker 180 G , Leiman Schlussel Ltd",To Do
A kind remainder,,#013,,,,"By Operation Manager on 2 Feb, 2025","By Operation Manager on 2 Feb, 2025","By Success Management on 5 Mar, 2025",,,,,,0,"Chocolate Spread, Ta'aman",Complete
There is email correspondence about the label.,,#016,,,,"By Operation Manager on 3 Feb, 2025","By Operation Manager on 3 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"Lemon Juice for salads, Ta'aman",Complete
sourceing,1.casagelato - https://www.casagelato.it/en/cat/Products_%3E_Formats_%3E_Other_formats.xhtml khladoprom - https://khladoprom.com/en/private-label/ jacques-ice -https://www.jacques-ice.com/producten?lang=en Leone   -       -https://incomleone.com/private-label/ IJspaleis-   https://www.ijspaleis.nl/en/about-us/ Alfagel - https://alfagel.com/en/private-label/ The Ice Cream Faktory-  https://www.icecreamfaktory.com/en/ice-cream-copacker#products Edo- https://edogelati.eu/en/ Ysco- https://www.ysco.eu/en/producten holidayice-  https://www.holidayice.nl/en/index.php#contactPerson Hela-Prima - https://www.lodyhela.com.pl/ice-cream/multipacks-and-multiboxes Dubai- https://intelligentfoods.ae/collections/soft-serve https://heladoslatapatia.com/newsite/products/ https://pierres.com/products/all-products/ https://www.lavialattea.com/en/private-label/ https://www.gelateriaghisolfi.com/gelato-a-domicilio/ https://www.gelatiroyal.it/it/private-label/ אלו מייצרים tube https://www.sedagroup.com/ice-cream Dadu- https://dadu.lt/en/packaging/ https://friofood.nl/en/about-us/ https://www.gelatoditalia.it/en/ice-cream/formats/,#018,,,,"By Operation Manager on 4 Feb, 2025","By Operation Manager on 4 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"ice cream in cones like Nestle's gumi-gam, Leiman Schlussel Ltd",Complete
Send email to all potential suppliers,I sent a request to three suppliers via the website: 1. pop fruit intelligent foods seda,#019,,,,"By Operation Manager on 5 Feb, 2025","By Operation Manager on 5 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"ice cream in cones like Nestle's gumi-gam, Leiman Schlussel Ltd",Complete
Sourceing supplier crackers,https://quely.com/en/quely-crem-55g https://papadopoulou.gr/en/brand/mini-pick-crackers/ https://www.valentinasnacks.com/products/ https://www.unismack.gr/products https://www.venuswafers.com/ https://bolletje.nl/onze-producten https://www.snackworks.com/brands/honey-maid/ https://www.yarych.com/en/categories/crackers,#020,,,,"By Operation Manager on 5 Feb, 2025","By Operation Manager on 5 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"Salty snacks - crackers , Foodz",To Do
Check if answer to my email,Gelateria- produce tubs or jars - not relevant,#021,,,,"By Operation Manager on 5 Feb, 2025","By Operation Manager on 5 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"ice cream in cones like Nestle's gumi-gam, Leiman Schlussel Ltd",To Do
"Gabi sent pictures of the leading products, Pnina still hasn't answered this mail (7 days ago)","Pnina answer , Gabi sent a  statement from the TARALLI manufacturer that they make cookies without wine, attached.",#025,,,DICHIARAZIONE NO VINO.pdf,"By Operation Manager on 6 Feb, 2025","By Operation Manager on 6 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"cracker 180 G , Leiman Schlussel Ltd",Complete
Plan of purchase with delivery timings,They will send it in a week,#026,,,,"By Operation Manager on 6 Feb, 2025","By Operation Manager on 6 Feb, 2025","By Operation Manager on 2 Mar, 2025",,,,,,0,"Lemon Juice for salads, Ta'aman",Complete
Gabi sent an email to Elad about a picture of the product (7 days ago) waiting for a response.,,#027,,,,"By Operation Manager on 6 Feb, 2025","By Operation Manager on 6 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"Pasta Sauces Ta'aman, Ta'aman",To Do
Gabi send prices of the product waiting for respond,,#028,,,forecast organic frozen vegetables 600+ 800gr 5.2.25.xlsx,"By Operation Manager on 6 Feb, 2025","By Operation Manager on 6 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"Pasta Sauces Ta'aman, Ta'aman",To Do
Certificate of Incorporation of Dor Alon Retail Complexes Ltd,,#031,,,תעודת התאגדות.pdf,"By Operation Manager on 6 Feb, 2025","By Operation Manager on 6 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon",Complete
Analysis of sunflower oil,,#032,,,REFINED SUNFLOWER OIL SAMPLE.doc,"By Operation Manager on 6 Feb, 2025","By Operation Manager on 6 Feb, 2025","By Udi Stryk on 16 Feb, 2025",,,,,,0,"750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon",Complete
