ProposalLineItemID,Proposal,Proposal Status,Status,Product,Product Wholesale price,Lookup  Buyer Company,Price,Auto Number,dev | adapatation,dev | create Compliance record,dev | create Graphics,dev | create order line item,dev | order,First Created,Last Updated,Open Comments
"000259 - Poyraz Extra Virgin Olive Oil, Ohser- Ad [Poyraz, Turkey][Shufersal] ()",,,New,"000259 - Poyraz Extra Virgin Olive Oil, Ohser- Ad [Poyraz, Turkey][Shufersal]",7.000,,7,#021,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 20 Feb, 2025",0
"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus] ()",,,New,"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]",,,,#022,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000278 - Chocolate Eggs 3*60 gr. cluster packaging  [Chocolitaly , Italy][Yochananof] ()",,,New,"000278 - Chocolate Eggs 3*60 gr. cluster packaging  [Chocolitaly , Italy][Yochananof]",,,,#023,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 20 Feb, 2025",0
"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal] ()",,,New,"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",,,,#034,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal] ()",,,New,"000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal]",,,,#036,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal] ()",,,New,"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]",,,,#041,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 20 Feb, 2025",0
"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal] ()",,,New,"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",0.820,,0.82,#051,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal] ()",,,New,"000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal]",,,,#058,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000250 - Organic Dried Black Cherries 100 grams  [Serena, Bulgary][Shufersal] ()",,,New,"000250 - Organic Dried Black Cherries 100 grams  [Serena, Bulgary][Shufersal]",,,,#069,,No,No,No,,"By Success Management on 24 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000251 - Organic dried plums
100 grams  [Serena, Bulgary][Shufersal] ()",,,New,"000251 - Organic dried plums
100 grams  [Serena, Bulgary][Shufersal]",,,,#070,,No,No,No,,"By Success Management on 24 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
