Request name,Open Comments,Request status,Benchmark product image.s,Link to Adaptation Process,Products Category & Family,Request's Brief,Request,Request line items,Buyer,Buyer's Company Description,Buyer Contact.s,Kosher,Kosher Type,Passover Kosher,Packaging preferance,Branding Requirements,Brief's Status,Link to Sourcing,Link to Suppliers,Link to Sampling Request,Link to Proposals,Link to Shipping,Link to Invoice & Receivable,Last Updated,First created,Assigned To,Files (Project status),Latest Supplier Added,Link to Action items,Link to Project status,Project Status,Project Statuses,Request ID
"Frozen vegtable Achim Cohen , Achim Cohen",0,New,,,"Frozen products, Frozen Vegetables,Frozen Legumes,frozen Beans","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Frozen vegtable Achim Cohen ,"whole blanch fine no cutting size 4x2,5kg, 5 Kg.,Achim Cohen",Achim Cohen,,"Mrs. Nicole ‏ Morgersten, Global Trade Specialist,Achim Cohen",Required,Badatz Kosher,Passover & All year around,Pillow bag,Supplier label,Not Complete,,"Ardo, Belgium",,"Frozen vegtable Achim Cohen , Achim Cohen- Ardo, Belgium",,,"By Udi Stryk on 27 Feb, 2025 at 11:09 AM","By Operation Manager on 20 Feb, 2025 at 9:51 AM","Operation Manager, Udi Stryk",,,,,,,002313
"Frozen french fries 9X9 - Carrefour, Carrefour",0,New,,,"Frozen products, Frozen Vegetables,Frozen French fries,","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Frozen french fries 9X9 - Carrefour,"Frozen french fries 9X9, 0.8 Gr.,Carrefour, Frozen french fries 9X9, 1 Kg.,Carrefour, Frozen french fries 9X9, 2 Kg.,Carrefour",Carrefour,,"Virginie  Bouchoucha, ,Carrefour",,Chief rabbinate,Passover & All year around,,Private label,Not Complete,,"Bergia frites, Netherlands",,"Frozen french fries 9X9 - Carrefour, Carrefour- Bergia frites, Netherlands",,,"By Operation Manager on 2 Apr, 2025 at 8:49 AM","By Operation Manager on 2 Apr, 2025 at 8:46 AM",,,,,I sent to virgini email with the forecast waiting for her reply,I sent to virgini email with the forecast waiting for her reply,To Do,002333
"Frozen French fries, Dor Alon",0,Cancelled ,e9b2bb9f628c0ffd200b704622b61949.jpg | %D7%A6%D7%99%D7%A4%D7%A1-%D7%90%D7%9E%D7%A8%D7%99%D7%A7%D7%90%D7%99-768x512.jpg | %D7%A6%D7%99%D7%A4%D7%A1-%D7%A1%D7%98%D7%99%D7%99%D7%A7.jpg | convert.jpg | convert.jpg,,"Frozen Foods, Frozen Vegetables,Potato Foods,Frech Fries, Potato slices (Potatoes)","Sourcing Brief for Dor Alon

Company Description:Dor Alon is a leading Israeli company specializing in retail and fuel services, with a growing presence in the food sector. The company offers a range of high-quality frozen food products, focusing on customer satisfaction and compliance with kosher dietary requirements.

Product Specifications:
Frozen French Fries (Dor Alon Brand)
Product 1: 1.5 Kg, Dor Alon
Product 2: 2.5 Kg, Foodz
Category: Frozen Foods, Frozen Vegetables, Potato Foods
Packaging Preference: Pillow Bag
Branding Requirements: Private Label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required for all products.

Competitor Pricing Benchmark:No specific competitor pricing data is available in the provided document.

Market Position and Target Market:Dor Alon is a key player in Israel's retail and food industry, focusing on providing high-quality frozen food products to consumers who seek convenience and kosher-certified goods. The company serves both retail and wholesale markets.

Business Objectives:
Source high-quality frozen French fries with Passover compliance
Maintain competitive pricing and private labeling
Ensure compliance with packaging preferences to enhance market appeal
Streamline procurement and logistics for timely delivery

Contact Information:
Contact Person: Mr. Nitzan Goldberg
Position: General Manager
Company Name: Dor Alon
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]
Contact Person: Mrs. Limor Yagur
Position: Import/Export Manager
Company Name: Dor Alon
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]",Frozen French fries,"Frozen French fries, 1.5 Kg.,Dor Alon, Frozen French fries, Foodz, 2.5 Kg.,Dor Alon, Frozen French fries cut steak 1.5 kg.,Dor Alon, 1.5 Kg.,Dor Alon, Frozen Zig zag French fries  1.5 kg, 1.5 Kg.,Dor Alon, Sweet potato chips 1 kg, 1 Kg.,Dor Alon",Dor Alon,"**Company Description**  
Dor Alon is a leading energy and retail company in Israel, operating approximately 220 fueling stations nationwide. The company is known for its extensive network, with locations spanning from north to south, including major highways such as Highway 6. Alongside fuel distribution, Dor Alon offers integrated convenience through its Alonit stores, catering to travelers and local customers with a variety of products and services.

**Food Categories**  
Dor Alon’s retail network includes Alonit convenience stores, which offer a broad range of food options. These include fresh pastries, sandwiches, beverages, snacks, and ready-to-eat meals. Additionally, its larger formats, such as Super Alonit and am:pm urban supermarkets, expand on this selection with a variety of groceries, fresh produce, dairy products, and household essentials. The company’s retail approach ensures customers access high-quality, on-the-go dining options and comprehensive grocery solutions.

**Retail Network**  
Dor Alon operates a total of approximately 285 points of sale. This includes 215 fueling stations, most of which feature Alonit convenience stores. The am:pm urban supermarket chain accounts for over 60 standalone locations in cities across Israel. Additionally, Dor Alon manages stores tailored to rural communities, such as Alonit in Moshav and Kibbutz. Larger-format stores, like Super Alonit, are integrated into the fueling stations to provide an enhanced shopping experience. This diverse network highlights Dor Alon’s significant presence in both urban and rural markets.","Mr. nitzan Goldberg, General manager,Dor Alon, Mrs. limor Yagur, Import/ Export manager,Dor Alon",Required,Chief rabbinate,Can not be Passover Kosher,Pillow bag,Private label,Complete,"Frozen French fries, Dor Alon",,,,,,"By Operation Manager on 20 Feb, 2025 at 10:53 AM","By Udi Stryk on 20 Nov, 2024 at 6:03 PM",Success Management,,,"Set Request Priority, Check if Order has invoice, Define the Description, Sourcing Vendors, Set a Due Date (Automation), Match Vendors with Request, Check Order Delivery Date, Check if all invoces are paid, Define The Products, Send Emails to Vendors",,,,002267
"750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon",0,in process,7290003427154.jpg,,"Pantry Staples, Oils and Vinegars,Cooking Oils,Sunflower Oil, Pantry Staples, Oils and Vinegars,Cooking Oils,Olive oil","Sourcing Brief for Dor Alon

Company Description:Dor Alon is a well-established Israeli company specializing in retail and fuel services, with a strong presence in the food and grocery sector. The company is committed to offering high-quality products, focusing on customer satisfaction and compliance with kosher dietary requirements.

Product Specifications:
750 ml Olive Oil (Meuloliva Brand - Dor Alon)
Volume: 750 ml
Weight: 750 gr
Packaging Preference: Glass Bottle
Branding Requirements: Supplier label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required.

Competitor Pricing Benchmark:No specific competitor pricing data is available in the provided document.

Market Position and Target Market:Dor Alon is positioned as a leading player in Israel’s retail and fuel market, expanding its offerings to include premium olive oil products. The target market includes both individual consumers and wholesale buyers looking for high-quality, kosher-certified products.

Business Objectives:
Source high-quality olive oil that meets Passover compliance standards
Ensure competitive pricing and supplier branding alignment
Provide preferred glass bottle packaging to enhance product appeal
Streamline logistics and procurement processes

Contact Information:
Contact Person: Mrs. Limor Yagur
Position: Import/Export Manager
Company Name: Dor Alon
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]

Let me know if you need any adjustments or additional details!",750/ 500 ml. Olive oil - mueloliva- Dor alon,"750 ml. Olive oil, 750  Gr.,Dor Alon",Dor Alon,"**Company Description**  
Dor Alon is a leading energy and retail company in Israel, operating approximately 220 fueling stations nationwide. The company is known for its extensive network, with locations spanning from north to south, including major highways such as Highway 6. Alongside fuel distribution, Dor Alon offers integrated convenience through its Alonit stores, catering to travelers and local customers with a variety of products and services.

**Food Categories**  
Dor Alon’s retail network includes Alonit convenience stores, which offer a broad range of food options. These include fresh pastries, sandwiches, beverages, snacks, and ready-to-eat meals. Additionally, its larger formats, such as Super Alonit and am:pm urban supermarkets, expand on this selection with a variety of groceries, fresh produce, dairy products, and household essentials. The company’s retail approach ensures customers access high-quality, on-the-go dining options and comprehensive grocery solutions.

**Retail Network**  
Dor Alon operates a total of approximately 285 points of sale. This includes 215 fueling stations, most of which feature Alonit convenience stores. The am:pm urban supermarket chain accounts for over 60 standalone locations in cities across Israel. Additionally, Dor Alon manages stores tailored to rural communities, such as Alonit in Moshav and Kibbutz. Larger-format stores, like Super Alonit, are integrated into the fueling stations to provide an enhanced shopping experience. This diverse network highlights Dor Alon’s significant presence in both urban and rural markets.","Mr. nitzan Goldberg, General manager,Dor Alon, Mrs. limor Yagur, Import/ Export manager,Dor Alon",Required,Chief rabbinate,Passover & All year around,Glass Bottle,Supplier label,Not Complete,"750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon","Mueloliva , Spain",,"750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon- Mueloliva , Spain",,,"By Operation Manager on 6 Apr, 2025 at 3:02 PM","By Success Management on 20 Jan, 2025 at 10:33 AM",Success Management,תעודת התאגדות.pdf | REFINED SUNFLOWER OIL SAMPLE.doc | 22_05_2024_08_30_46.pdf | 90680425.pdf,,Dor Alon:50 ml. Olive oil - Meuloliva,"Certificate of Incorporation of Dor Alon Retail Complexes Ltd, Analysis of sunflower oil, Business license for Maayan representative company that distributes the olive oil, The labels and approvals of the olive oil and tomatoes, Label Sent to supplier for approval and printing, Update logo - Gabi sent to revital to update logo, Tracking number DHL 1891685714, Faina sent as email that the importer certificate wil be recevied and she will update usl, The import approval for Dor Alon has been received., I sent email to Nina from Transworld, We spoke with Nir from middle traide","Certificate of Incorporation of Dor Alon Retail Complexes Ltd, Analysis of sunflower oil, Business license for Maayan representative company that distributes the olive oil, The labels and approvals of the olive oil and tomatoes, Update logo - Gabi sent to revital to update logo, Tracking number DHL 1891685714, Faina sent as email that the importer certificate wil be recevied and she will update usl, The import approval for Dor Alon has been received., I sent email to Nina from Transworld, We spoke with Nir from middle traide",Complete | Complete | Complete | To Do | Complete | In Process | Complete | Complete | To Do | To Do,002279
"Salty snacks - crackers , Foodz",0,New,-Nmz68hQdQOYcdjoHFO6.jpg | cuetara-fish.jpg | cuetara-mix.jpg,,"Snacks, Savory Snacks,Crackers,Cheese CrackersGraham CrackersRice CrackersSaltine CrackersWhole Grain CrackersMini Crackers","Sourcing Brief for Foodz-X
Company DescriptionFoodz-X is a leading Israeli food retail company specializing in providing a diverse range of high-quality food products. Renowned for its customer-first approach, Foodz-X focuses on offering exceptional value and kosher-certified goods that cater to a broad consumer base.

Product Specifications
Product Category: Salty Snacks – Crackers
Types:
Round-shaped salty crackers (350 gr).



Fish-shaped salty crackers (350 gr).



Mix-shaped salty crackers (350 gr).



Packaging: Plastic jars with supplier labeling.
Kosher Requirements: Certified by the Chief Rabbinate, including Passover-specific certification.

Competitor Pricing Benchmark
Competitor Price: 6.90 ILS per product (350 gr).This pricing serves as a benchmark to evaluate supplier proposals for competitive positioning.

Market Position and Target Market
Market Position: Foodz-X is recognized as a premium kosher food supplier with a strong reputation in the Israeli market.
Target Market: Families and individuals seeking kosher, high-quality, and diverse food options at competitive prices.

Business Objectives
Source innovative and high-quality cracker products to expand the salty snacks range.
Ensure competitive pricing and adherence to kosher requirements.
Strengthen brand presence through distinctive product offerings and reliable supplier partnerships.

Contact Information
Contact Person: Rivka
Position: Sourcing and Projects Manager
Company: Foodz Exchange
Email: projects@foodz-x.com
Phone: +972 55-442-3001
Website: www.foodz-x.com
Address: 27 Maskit St., Herzliya, Israel",Salty snacks - crackers ,"Round Shaped crackers, 350 Gr.,Foodz, Fish shaped Salty crackers, 350 Gr.,Foodz, Mix shaped, Salty crackers, 350 Gr.,Foodz",Foodz,"Foodz-X is a leading Israeli food retail company specializing in providing a diverse range of culinary products to meet the varied tastes of its customers. With a commitment to quality and innovation, Foodz-X has established itself as a prominent player in the Israeli food industry, offering an extensive selection of products that cater to both traditional and contemporary palates.

The company's product portfolio encompasses a wide array of food categories, including fresh produce, dairy products, baked goods, and ready-to-eat meals. Additionally, Foodz-X offers a selection of international cuisines, organic options, and specialty items to cater to health-conscious consumers and those seeking unique culinary experiences. This diverse range ensures that customers can find products that suit their dietary preferences and lifestyle needs.

Foodz-X operates a network of retail outlets across Israel, each designed to provide a convenient and enjoyable shopping experience. The company's points of sale include standard supermarkets, express stores for quick shopping trips, and specialty stores focusing on niche markets. This strategic distribution allows Foodz-X to effectively serve a broad customer base, ensuring accessibility and convenience for shoppers in various locations. ","Mr. Ze'ev Strykowsky, Director/ High level manager,Foodz",Required,Chief rabbinate,Can not be Passover Kosher,Plastik Jar,Supplier label,Complete,"Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz, Salty snacks - crackers , Foodz","VEST spol. s r.o., Poland, Papadopoulos,, TH Foods, Inc., United States, Corporation Biscuit Chocolate ""Kharkiv Biscuit Factory"" PJSC, Ukraine, Dr Gerard Sp. Z.O.O, Poland, Galletas Gullón, S. A. Gullon Biscuits, Spain, Anmol Industries Limited, United States, Consolidated Biscuit Co. Ltd., Malta, Saray Biskuvi Ve Gida San. A.S., Turkey, Yarych Confectionery LLC, Ukraine, Quely S.A., Spain, GUNZ WARENHANDELS GMBH, Austria, Vista Distribution Co., Ltd., Thailand, SOTTOLESTELLE SRL, ITALY, Quely,, VALENTINA SNACKS, Spain, Orazio il Grissinaio , Italy, SAVIMEX, Bulgaria, Velikovi, Bulgaria, Villanueva, Spain, ADUGS, Latvija, Nutribella, Serbia, SLAVIA, Russia, RITZ, USA, UNISMACK, Greece",,,,,"By Operation Manager on 10 Mar, 2025 at 7:56 PM","By Udi Stryk on 16 Jan, 2025 at 10:45 PM",Operation Manager,,,"New product crackers like ""krit- cuetara"", I SEND A REMAINEDR ABOUT THE VOLUMES WAITING FOR REPLY",Sourceing supplier crackers,Sourceing supplier crackers,To Do,002274
"Marshmallow , Foodz",0,in process,,,"Snacks, Sweet Snacks,Marshmallows,PlainMiniFlavored","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Marshmallow ,,Foodz,"Foodz-X is a leading Israeli food retail company specializing in providing a diverse range of culinary products to meet the varied tastes of its customers. With a commitment to quality and innovation, Foodz-X has established itself as a prominent player in the Israeli food industry, offering an extensive selection of products that cater to both traditional and contemporary palates.

The company's product portfolio encompasses a wide array of food categories, including fresh produce, dairy products, baked goods, and ready-to-eat meals. Additionally, Foodz-X offers a selection of international cuisines, organic options, and specialty items to cater to health-conscious consumers and those seeking unique culinary experiences. This diverse range ensures that customers can find products that suit their dietary preferences and lifestyle needs.

Foodz-X operates a network of retail outlets across Israel, each designed to provide a convenient and enjoyable shopping experience. The company's points of sale include standard supermarkets, express stores for quick shopping trips, and specialty stores focusing on niche markets. This strategic distribution allows Foodz-X to effectively serve a broad customer base, ensuring accessibility and convenience for shoppers in various locations. ","Mr. Ze'ev Strykowsky, Director/ High level manager,Foodz",,Chief rabbinate,Only for Passover,,,Not Complete,,"Funny Star, China, Yiwu Daqian Food Co., China",,,,,"By Operation Manager on 24 Apr, 2025 at 1:52 PM","By Operation Manager on 19 Feb, 2025 at 9:09 AM","Operation Manager, Udi Stryk",,,,"Gabriel asked Rabbi Itzik to assist in communication with Jason to resolve the issue of sample quantity and cost., Gabi inquired whether there are alternative suppliers offering similar marshmallow products., Details of rabi itzchak, Richard sent a catalog, and we need to review the catalog and let you know which products to send samples for., The machine at the factory broke down, so the samples won’t be sent out in the near future.","Details of rabi itzchak, Gabi inquired whether there are alternative suppliers offering similar marshmallow products., Gabriel asked Rabbi Itzik to assist in communication with Jason to resolve the issue of sample quantity and cost., Richard sent a catalog, and we need to review the catalog and let you know which products to send samples for., The machine at the factory broke down, so the samples won’t be sent out in the near future.",Complete | Complete | Complete | To Do | To Do,002308
"Chocolate bars, Foodz",0,in process,,,"Cookies, biscuits & other sweet snacks, Chocolate ,Chocolate bars,Dark Chocolate BarsMilk Chocolate Bars","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Chocolate bars,"chocolate bars 100 g, 100 Gr.,Foodz",Foodz,"Foodz-X is a leading Israeli food retail company specializing in providing a diverse range of culinary products to meet the varied tastes of its customers. With a commitment to quality and innovation, Foodz-X has established itself as a prominent player in the Israeli food industry, offering an extensive selection of products that cater to both traditional and contemporary palates.

The company's product portfolio encompasses a wide array of food categories, including fresh produce, dairy products, baked goods, and ready-to-eat meals. Additionally, Foodz-X offers a selection of international cuisines, organic options, and specialty items to cater to health-conscious consumers and those seeking unique culinary experiences. This diverse range ensures that customers can find products that suit their dietary preferences and lifestyle needs.

Foodz-X operates a network of retail outlets across Israel, each designed to provide a convenient and enjoyable shopping experience. The company's points of sale include standard supermarkets, express stores for quick shopping trips, and specialty stores focusing on niche markets. This strategic distribution allows Foodz-X to effectively serve a broad customer base, ensuring accessibility and convenience for shoppers in various locations. ","Mr. Ze'ev Strykowsky, Director/ High level manager,Foodz",,Chief rabbinate,Can not be Passover Kosher,,,Not Complete,,"Icam, Italy","Icam S.p.A., United States ShipTo Foodz",,,,"By Operation Manager on 24 Apr, 2025 at 1:52 PM","By Operation Manager on 2 Mar, 2025 at 10:20 AM",Operation Manager,,,,"Request for Samples – 3-4 units of each of the 6 chocolate bars displayed in the catalog (excluding sugar-free or gluten-free versions)., I sent email to Andera waiting for reply -samples, I sent Andrea the forecast and i waiting for prices","Request for Samples – 3-4 units of each of the 6 chocolate bars displayed in the catalog (excluding sugar-free or gluten-free versions)., I sent email to Andera waiting for reply -samples, I sent Andrea the forecast and i waiting for prices",Complete | Complete | To Do,002316
"Gummi Candies , Foodz",0,in process,,,"Snacks, Sweet Snacks,Candy,GummiesHard Candy","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Gummi Candies ,,Foodz,"Foodz-X is a leading Israeli food retail company specializing in providing a diverse range of culinary products to meet the varied tastes of its customers. With a commitment to quality and innovation, Foodz-X has established itself as a prominent player in the Israeli food industry, offering an extensive selection of products that cater to both traditional and contemporary palates.

The company's product portfolio encompasses a wide array of food categories, including fresh produce, dairy products, baked goods, and ready-to-eat meals. Additionally, Foodz-X offers a selection of international cuisines, organic options, and specialty items to cater to health-conscious consumers and those seeking unique culinary experiences. This diverse range ensures that customers can find products that suit their dietary preferences and lifestyle needs.

Foodz-X operates a network of retail outlets across Israel, each designed to provide a convenient and enjoyable shopping experience. The company's points of sale include standard supermarkets, express stores for quick shopping trips, and specialty stores focusing on niche markets. This strategic distribution allows Foodz-X to effectively serve a broad customer base, ensuring accessibility and convenience for shoppers in various locations. ","Mr. Ze'ev Strykowsky, Director/ High level manager,Foodz",,Chief rabbinate,Passover & All year around,,Private label,Not Complete,,"Yiwu Daqian Food Co., China","Yiwu Daqian Food Co., China ShipTo",,,,"By Operation Manager on 25 May, 2025 at 11:15 AM","By Success Management on 4 Mar, 2025 at 7:16 PM",,,,,"Richard will sent us samples with Rabbi yossef, Richard need to sign on the agreemnt","Richard sent as a catalog, we need to review and select product, Richard will sent us samples with Rabbi yossef, Richard need to sign on the agreemnt",To Do | To Do | To Do,002322
"Chooclate and Candy of Carletti, Foodz",0,in process,,,"Snacks, Sweet Snacks,Candy,GummiesHard Candy","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Chooclate and Candy of Carletti,"Carletti Sandwich Chocolate,  Gr.,Foodz, Jakobsen Ecuador Chocolate 73%,  Gr.,Foodz, Jakobsen Ecuador Chocolate 41%,  Gr.,Foodz, Medium Compound Lentils,  Gr.,Foodz, Mini Milk Chocolate Lentils,  Gr.,Foodz, Vienna Lentils,  Gr.,Foodz",Foodz,"Foodz-X is a leading Israeli food retail company specializing in providing a diverse range of culinary products to meet the varied tastes of its customers. With a commitment to quality and innovation, Foodz-X has established itself as a prominent player in the Israeli food industry, offering an extensive selection of products that cater to both traditional and contemporary palates.

The company's product portfolio encompasses a wide array of food categories, including fresh produce, dairy products, baked goods, and ready-to-eat meals. Additionally, Foodz-X offers a selection of international cuisines, organic options, and specialty items to cater to health-conscious consumers and those seeking unique culinary experiences. This diverse range ensures that customers can find products that suit their dietary preferences and lifestyle needs.

Foodz-X operates a network of retail outlets across Israel, each designed to provide a convenient and enjoyable shopping experience. The company's points of sale include standard supermarkets, express stores for quick shopping trips, and specialty stores focusing on niche markets. This strategic distribution allows Foodz-X to effectively serve a broad customer base, ensuring accessibility and convenience for shoppers in various locations. ","Mr. Ze'ev Strykowsky, Director/ High level manager,Foodz",,Chief rabbinate,Only for Passover,,,Not Complete,,"Carletti A/S, Denmark",,,,,"By Operation Manager on 24 Apr, 2025 at 1:52 PM","By Operation Manager on 13 Mar, 2025 at 12:09 PM",Operation Manager,image002.png,,,Gert reply that he leaving the company and he will send us who will be his replacement,"prices for the productes, Gert reply that he leaving the company and he will send us who will be his replacement",To Do | To Do,002326
"Tuna Fish, Foodz",0,in process,,,"Pantry Staples, Canned/ Preserved Foods,Canned Fish ,Canned/ Preserved fish (Tuna)","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Tuna Fish,,Foodz,"Foodz-X is a leading Israeli food retail company specializing in providing a diverse range of culinary products to meet the varied tastes of its customers. With a commitment to quality and innovation, Foodz-X has established itself as a prominent player in the Israeli food industry, offering an extensive selection of products that cater to both traditional and contemporary palates.

The company's product portfolio encompasses a wide array of food categories, including fresh produce, dairy products, baked goods, and ready-to-eat meals. Additionally, Foodz-X offers a selection of international cuisines, organic options, and specialty items to cater to health-conscious consumers and those seeking unique culinary experiences. This diverse range ensures that customers can find products that suit their dietary preferences and lifestyle needs.

Foodz-X operates a network of retail outlets across Israel, each designed to provide a convenient and enjoyable shopping experience. The company's points of sale include standard supermarkets, express stores for quick shopping trips, and specialty stores focusing on niche markets. This strategic distribution allows Foodz-X to effectively serve a broad customer base, ensuring accessibility and convenience for shoppers in various locations. ","Mr. Ze'ev Strykowsky, Director/ High level manager,Foodz",,Chief rabbinate,,,Private label,Not Complete,,"Conservas Friscos, S.A., Spain","Conservas Friscos, S.A., Spain ShipTo Foodz","Tuna Fish, Foodz- Conservas Friscos, S.A., Spain",,,"By Operation Manager on 24 Apr, 2025 at 1:52 PM","By Operation Manager on 18 Mar, 2025 at 9:06 AM",,,,"We are waiting for the samples, after that insert the product with deails",I sent them an email waiting for reply,I sent them an email waiting for reply,To Do,002328
