Request for Samples Title,Sample Request Status,Sample Payment Status,Samples images,Open Comments,Seller's Company Name,Buyer Company name,RFQ - Request for Quotation,Product,Seller Comment,ShipTo address same to company address?,Seller Company Email,Delivery Phone Number,Other sample from the same Company,Sample Quantity asked for,Samples Description,Comments and Delivery address,Samples Delivery Cost,Buyer - Sample Payment Status,Seller - Sample Payment Status,Courier company name,AWB Tracking ID,Tracking Url,Shipping Documentations,ETA,Sample Feedback from Buyer,Proposal Request ?,First Created,Last Updated,"ID",Sample Request Status
"Ardo, Belgium ShipTo Shufersal",Sampling Done,,convert.jpg,0,"Ardo, Belgium",Shufersal,,"000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]",,Yes.,sales.exportoverseas.be@ardo.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#113,
"Ardo, Belgium ShipTo Shufersal",Waiting for Sample Payment,,convert.jpg,0,"Ardo, Belgium",Shufersal,,"000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]",,Yes.,sales.exportoverseas.be@ardo.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#114,
"Ardo, Belgium ShipTo Shufersal",Piad - Preparing Shipping,,convert.jpg,0,"Ardo, Belgium",Shufersal,,"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",,Yes.,sales.exportoverseas.be@ardo.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#115,
"Ardo, Belgium ShipTo Shufersal",Piad - Preparing Shipping,,convert.jpg,0,"Ardo, Belgium",Shufersal,,"000054 - GREEN PEAS [Ardo, Belgium][Shufersal]",,Yes.,sales.exportoverseas.be@ardo.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#119,
"Ardo, Belgium ShipTo Shufersal",Sample Shipped,,convert.jpg,0,"Ardo, Belgium",Shufersal,,"000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]",,Yes.,sales.exportoverseas.be@ardo.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#120,
"Ardo, Belgium ShipTo Shufersal",Sample Shipped,,convert.jpg,0,"Ardo, Belgium",Shufersal,"Frozen Vegetables, Shufersal","000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,Yes.,sales.exportoverseas.be@ardo.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#121,
"Balconi, Italy ShipTo Shufersal",Handling Shipping Issue,,balconi-wafer-cubi-hazelnut.jpg,0,"Balconi, Italy",Shufersal,"wafer cubes, balconi, Shufersal","000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal], 000405 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Yochananof]",,Yes.,orders@balconidolciaria.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#116,
"Balconi, Italy ShipTo Shufersal",Sample Delivered,,"61JCgjrns6L._AC_UF894,1000_QL80_.jpg",0,"Balconi, Italy",Shufersal,,"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",,Yes.,orders@balconidolciaria.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#117,
"Bhars, Portugal ShipTo Foodz",New,,,0,"Bhars, Portugal",Foodz,"Bhars Portugal - Seaweed Snack, Foodz",,,,,,,,,,,,,UPS,1Z79478W6790685578,,,,,"Yes, Send Me Proposal","By Operation Manager on 8 Apr, 2025","By Operation Manager on 8 Apr, 2025",#152,
"BURATTI confetti, Italy ShipTo Leiman Schlussel Ltd",New,,,0,"BURATTI confetti, Italy",Leiman Schlussel Ltd,"Confetti Candies, Leiman Schlussel Ltd",,,,ordini@buratticonfetti.com,,,,,,,,,DHL,1104755293 ,,,,,No,"By Operation Manager on 18 Mar, 2025","By Udi Stryk on 22 Apr, 2025",#147,
