Commission ID,Buyer Company,Supplier,Commission %,Payer
"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey  _ ProPlus",ProPlus,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",1.5,Buyer
"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey  _ Middle Trade ltd.",Middle Trade ltd.,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",1.5,Buyer
"Adanim Tea,  _ Shufersal",Shufersal,"Adanim Tea,",3.5,Supplier
"Adanim Tea,  _ ProPlus",ProPlus,"Adanim Tea,",3.5,Supplier
"Ardo, Belgium  _ Shufersal",Shufersal,"Ardo, Belgium",3,Buyer
"Armada foods, Turkey  _ ProPlus",ProPlus,"Armada foods, Turkey",3.5,Buyer
"Armada foods, Turkey  _ Harduf - All Organics",Harduf - All Organics,"Armada foods, Turkey",3,Buyer
"Balconi, Italy  _ Shufersal",Shufersal,"Balconi, Italy",3,Buyer
"CASCINA BELVEDERE S.R.L. , Italy  _ Shufersal",Shufersal,"CASCINA BELVEDERE S.R.L. , Italy",3,Buyer
"Castelfood srl, Italy  _ Harduf - All Organics",Harduf - All Organics,"Castelfood srl, Italy",3,Buyer
"Ciemme, Italy  _ Shufersal",Shufersal,"Ciemme, Italy",3.5,Buyer
"Coppenrath Feingebäck GmbH, Germany  _ Shufersal",Shufersal,"Coppenrath Feingebäck GmbH, Germany",2.5,Buyer
"Crich, Italy  _ Shufersal",Shufersal,"Crich, Italy",3,Buyer
"Crispy food, Denmark  _ Shufersal",Shufersal,"Crispy food, Denmark",3.5,Buyer
"Crispy food, Denmark  _ ProPlus",ProPlus,"Crispy food, Denmark",3.5,Buyer
"DAF-AL S.r.l. , Italy  _ Shufersal",Shufersal,"DAF-AL S.r.l. , Italy",3,Buyer
"EuroSnacks/ FornoDamiani, Italy  _ Shufersal",Shufersal,"EuroSnacks/ FornoDamiani, Italy",3.5,Buyer
"Fiore di Puglia, Italy  _ Shufersal",Shufersal,"Fiore di Puglia, Italy",3,Buyer
"fruttagel, Italy  _ Shufersal",Shufersal,"fruttagel, Italy",3,Buyer
"GreenYard, Belgium  _ Harduf - All Organics",Harduf - All Organics,"GreenYard, Belgium",3,Buyer
"Helwa, Netherlands  _ Shufersal",Shufersal,"Helwa, Netherlands",2.5,Buyer
"Icam, Italy  _ Shufersal",Shufersal,"Icam, Italy",3,Buyer
"K.F.C. GIDA A.Ş., Turkey  _ Shufersal",Shufersal,"K.F.C. GIDA A.Ş., Turkey",3,Buyer
"La Doria, Italy  _ Shufersal",Shufersal,"La Doria, Italy",3.5,Buyer
"La Mole, Italy  _ Shufersal",Shufersal,"La Mole, Italy",3,Buyer
"LeBonta Firenze, Italy  _ Shufersal",Shufersal,"LeBonta Firenze, Italy",3,Buyer
"Maas Intersales, Netherlands  _ Shufersal",Shufersal,"Maas Intersales, Netherlands",3,Buyer
"Maas Intersales, Netherlands  _ Leiman Schlussel Ltd",Leiman Schlussel Ltd,"Maas Intersales, Netherlands",3,Buyer
"Martino, Italy  _ Shufersal",Shufersal,"Martino, Italy",3,Buyer
"Mueloliva , Spain  _ Shufersal",Shufersal,"Mueloliva , Spain",3,Buyer
"Mueloliva , Spain  _ Dor Alon",Dor Alon,"Mueloliva , Spain",2,Buyer
"Mueloliva , Spain  _ Dor Alon",Dor Alon,"Mueloliva , Spain",1.5,Supplier
"Nutkao, Italy  _ Shufersal",Shufersal,"Nutkao, Italy",3,Buyer
"Otmuchow - ZAKŁADY PRZEMYSŁU CUKIERNICZEGO, Poland  _ Shufersal",Shufersal,"Otmuchow - ZAKŁADY PRZEMYSŁU CUKIERNICZEGO, Poland",3.5,Buyer
"Ozgur, Turkey  _ Shufersal",Shufersal,"Ozgur, Turkey",3,Buyer
"Pastificio Mennucci S.P.A, Italy  _ Shufersal",Shufersal,"Pastificio Mennucci S.P.A, Italy",3,Buyer
"Pata S.P.A, Italy  _ Shufersal",Shufersal,"Pata S.P.A, Italy",3,Buyer
"Pata S.P.A, Italy  _ Schestowitz",Schestowitz,"Pata S.P.A, Italy",2,Buyer
"Polenghi, Italy  _ Shufersal",Shufersal,"Polenghi, Italy",3.5,Buyer
"Poyraz, Turkey  _ Shufersal",Shufersal,"Poyraz, Turkey",2,Buyer
"Poyraz, Turkey  _ H. Cohen Import Marketing & Logistics Ltd",H. Cohen Import Marketing & Logistics Ltd,"Poyraz, Turkey",2,Buyer
"Poyraz, Turkey  _ Shufersal",Shufersal,"Poyraz, Turkey",2,Buyer
"Poyraz, Turkey  _ Marav Mazonkol (Osher Ad)",Marav Mazonkol (Osher Ad),"Poyraz, Turkey",2,Buyer
"SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy  _ Shufersal",Shufersal,"SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy",3.5,Buyer
"Serena, Bulgary  _ Shufersal",Shufersal,"Serena, Bulgary",3,Buyer
"Solana, Italy  _ ProPlus",ProPlus,"Solana, Italy",3.5,Buyer
"trevijano, Spain  _ Shufersal",Shufersal,"trevijano, Spain",3,Buyer
"Vicenzi, Italy  _ Shufersal",Shufersal,"Vicenzi, Italy",3.5,Buyer
"Viube/Grupo Apex/ Mikso, Spain  _ Shufersal",Shufersal,"Viube/Grupo Apex/ Mikso, Spain",3,Buyer
