ComplianceProcessID,Product Name,Product Specification Sheet,Status,Adaptation Process,Buyer's EAN Code,Supplier,Complience Progress,Date of Specification,Specification Versioning,Ministry of Health Application Status,Supplier Compliance Status,Health permit.s approval1 ?,Auto Number,First Created,Last Updated,Open Comments
"Compliance: 000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]","000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]",AY.KL.S.Ü.14 REFINED SUNFLOWER OIL PRODUCT SPECIFICATION (TYPE 1).pdf,Approved,", 19 Jan, 2025",,,,7/11/2019,,Not Submitted,Documents Received,Yes,#220,"By Operation Manager on 19 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000311 - Whole peeled tomatoes,Organic,380 [La Doria, Italy][Shufersal]","000311 - Whole peeled tomatoes,Organic,380 [La Doria, Italy][Shufersal]",P054.B4 Organic whole peeled tomatoes in tomato juice  easy open can of 425 ml.pdf,Approved,,,,,13/5/2024,,Not Submitted,New,Yes,#238,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
Compliance:,,,New ,,,,,,,Not Submitted,New,No,#297,"By SmartSuite Automation on 24 Jan, 2025","By Udi Stryk on 24 Jan, 2025",0
"Compliance: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]","000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,New ,,7296073173212,,,,,Not Submitted,New,No,#307,"By SmartSuite Automation on 27 Jan, 2025","By Udi Stryk on 27 Jan, 2025",0
"Compliance: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]","000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",,New ,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Feb, 2025",7296073173229,,,,,Not Submitted,New,No,#313,"By SmartSuite Automation on 19 Feb, 2025","By SmartSuite Automation on 19 Feb, 2025",0
"Compliance: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]","000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,New ,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Feb, 2025",7296073173212,,,,,Not Submitted,New,No,#314,"By SmartSuite Automation on 19 Feb, 2025","By SmartSuite Automation on 19 Feb, 2025",0
"Compliance: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]","000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]","COA - Shufersal - 26251000967 (1) beans fine --.pdf, VGM container 26050076498.pdf",Approved,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",7296073173212,"Ardo, Belgium",,11/8/2024,,Not Submitted,Verified,Yes,#221,"By Operation Manager on 19 Jan, 2025","By Udi Stryk on 11 Feb, 2025",0
"Compliance: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]","000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",COA - Shufersal - 26251000967 cut green beans (2).pdf,Approved,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",7296073173229,"Ardo, Belgium",,11/8/2024,,Not Submitted,New,Yes,#222,"By Operation Manager on 19 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]","000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]",COA - Shufersal - 26251003546 Beans extra fine  (3).pdf,Approved,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",7296073173205,"Ardo, Belgium",,12/10/2024,,Not Submitted,New,Yes,#242,"By Operation Manager on 19 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]","000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]",COA_Peas and carrot mix_SO25-002009.pdf,Approved,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",7296073224907,"Ardo, Belgium",,25/11/2024,,Not Submitted,New,Yes,#245,"By Operation Manager on 19 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
