Graphics Process ID,Open Comments,Product,Graphic files,Adaptation Process,Graphics Stage,Supplier,Buyer,Product sticker Measurements (CM),Box Sticker Measurements (mm/cm),Buyer's Approval Date,Choromoline confirmed?,Buyer's Approval for label,Auto Number,First Created,Last Updated
"Graphics: 000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]",0,"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]","5L( Rectangular) LABEL DIE CUT 92x180.pdf, OLDDDDD  PRO008_SunflowerOil_5Lt_564539.pdf, PRO008_SunflowerOil_5Lt_CTN_564539_PRINT_2_APP.pdf",", 19 Jan, 2025",Approved,,Shufersal,,,7/1/2024,Yes,Approved	,#287,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000020 - Gluten free cookies chocolate filled [Vicenzi, Italy][Shufersal]",1,"000020 - Gluten free cookies chocolate filled [Vicenzi, Italy][Shufersal]","Shufersal, 2025 prices and sales terms VICENZI.eml",,New Process,,,,,,No,New - Need to approve,#296,"By Success Management on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000021 - Gluten free cookies lemon filled [Vicenzi, Italy][Shufersal]",1,"000021 - Gluten free cookies lemon filled [Vicenzi, Italy][Shufersal]","Shufersal, 2025 prices and sales terms VICENZI.eml",,New Process,,,,,,No,New - Need to approve,#307,"By Success Management on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
"Graphics: 000022 - Gluten Free BISCUITS 125 G [Vicenzi, Italy][Shufersal]",1,"000022 - Gluten Free BISCUITS 125 G [Vicenzi, Italy][Shufersal]","Shufersal, 2025 prices and sales terms VICENZI.eml",,New Process,,,,,,No,New - Need to approve,#308,"By Success Management on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025"
Graphics:,0,,,,New Process,,,,,,No,New - Need to approve,#343,"By SmartSuite Automation on 24 Jan, 2025","By Udi Stryk on 24 Jan, 2025"
"Graphics: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",0,"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,,New Process,,,,,,No,New - Need to approve,#347,"By SmartSuite Automation on 27 Jan, 2025","By Udi Stryk on 27 Jan, 2025"
"Graphics: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",0,"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Feb, 2025",New Process,,,,,,No,New - Need to approve,#353,"By SmartSuite Automation on 19 Feb, 2025","By SmartSuite Automation on 19 Feb, 2025"
"Graphics: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",0,"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Feb, 2025",New Process,,,,,,No,New - Need to approve,#354,"By SmartSuite Automation on 19 Feb, 2025","By SmartSuite Automation on 19 Feb, 2025"
"Graphics: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",1,"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",New Process,"Ardo, Belgium",Shufersal,,,,No,New - Need to approve,#288,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]",1,"000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]",,"Frozen Vegetables, Shufersal- Ardo, Belgium, 19 Jan, 2025",New Process,"Ardo, Belgium",Shufersal,,,,No,New - Need to approve,#289,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
