Title,Seller company,Seller's number,Link to Contractors,Buyer Company,Agent/ Broker/ Contractor number,Buyer's Number
"204776,",,204776,,,,
"110542, Maas Intersales, Netherlands","Maas Intersales, Netherlands",110542,,,,
"914704, AST Superfoods, Israel","AST Superfoods, Israel",914704,,,,
"111401, Coppenrath Feingebäck GmbH, Germany","Coppenrath Feingebäck GmbH, Germany",111401,,,,
"110731, La Doria, Italy","La Doria, Italy",110731,,,,
"110621, Ardo, Belgium","Ardo, Belgium",110621,"1kosher, Belgium",,,
"111692, Helwa, Netherlands","Helwa, Netherlands",111692,,,,
"110976, Ciemme, Italy","Ciemme, Italy",110976,,,,
"110397, Crispy food, Denmark","Crispy food, Denmark",110397,,,,
"112147, Viube/Grupo Apex/ Mikso, Spain","Viube/Grupo Apex/ Mikso, Spain",112147,,Shufersal,,
"110157, Polenghi, Italy","Polenghi, Italy",110157,,,,
"111592, Pastificio Mennucci S.P.A, Italy","Pastificio Mennucci S.P.A, Italy",111592,,,,
"112406, Serena, Bulgary","Serena, Bulgary",112406,,,,
"110466, Vicenzi, Italy","Vicenzi, Italy",110466,,,,
"112109, Otmuchow - ZAKŁADY PRZEMYSŁU CUKIERNICZEGO, Poland","Otmuchow - ZAKŁADY PRZEMYSŁU CUKIERNICZEGO, Poland",112109,,,,
"111816, Icam, Italy","Icam, Italy",111816,,,,
"1000, Poyraz, Turkey","Poyraz, Turkey",1000,,H. Cohen Import Marketing & Logistics Ltd,,2000
"shufersal,",,shufersal,,Shufersal,,110030
"110030, Balconi, Italy","Balconi, Italy",110030,,Shufersal,,
"112147, Viube/Grupo Apex/ Mikso, Spain","Viube/Grupo Apex/ Mikso, Spain",112147,,,,
"112401, Ozgur, Turkey","Ozgur, Turkey",112401,,Shufersal,,
