Shipping ID,Arrival Date,Arrival Filter,Buyer,Buyer's P.O Lines Confirmation,Cartons Per Shipment,Cartons Per Shipment (from Report),Comments,Commission Difference,Commission from Report,Commission payment ($/€),Commission Rate (%),Commission Rates,Completed Fields,Completion Percentage,Container number/ ID,Container Size,Currency for P.O,Days to destination,Delay in Ports,dev - Confirmation Received,dev - Order Status (Formula),Difference (Cartons/🚢 est vs actual),Difference (Estimated vs Arrived),Difference between order & Shipping,Difference Units/🚢 (est. vs actual),Differnce between Shipping & Invoice (ILS),Dry/ Reefer Container?,Est. Arrival in Next 14 days,Est. Arrival in Next 30 days,Est. Arrival in Next 7 days,Est. Arrival in past 14 days,Est. Arrival in past 30 days,Est. Arrival in past 7 days,First Created,Formula Shorba,Invoice ID,Invoice Status,Last Updated,Link to Invoices,Link to Project status,Linked Order line,Loading Start/Commercial invoice DATE,Lookup OL Statuses,Lookup Order Status,LookupTEMP,Open Comments,Order,Order line ID,Order Line Items,Order Lines SUM. Price,Order Status (No Needed),Payer,Percent Completed,Percentage arrived in shipment,Purchase order files (Orders),Requested delivery date,Shipment Number (Buyer Ref.),Shipment's Invoice.s SUM. $/€,Shipping company,Shipping documentation,Shipping Status,Supplier,Supplier's Invoice Number.s,Units Per Shipment,Units Per Shipment (from Report)
"20  - ,",,,,,,,,,,0.000,3.50,"Ciemme, Italy  _ Shufersal",,,,40 FT.,,18,10,No,,,,,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By SmartSuite Automation on 13 Jan, 2025",,,,"By Success Management on 19 Jun, 2025",,,20,,Supplied to Buyer,,,0,,#1070,"20  _   000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]  _  Order: 000397-SHF [114792]",,,Buyer,,"-,100.000%",,25/2/2024,,,,,In Transit,,,,
"10  - ,",,,,,,,,,,0.000,3.50,"Ciemme, Italy  _ Shufersal",,,,40 FT.,,18,10,No,,,,0.000,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By SmartSuite Automation on 13 Jan, 2025",,,,"By Success Management on 19 Jun, 2025",,,10,,Supplied to Buyer,,,0,,#1077,"10  _   000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]  _  Order: 000397-SHF [114792]",0.000,,Buyer,,"-,100.000%",,25/2/2024,,,,,In Transit,,,,
"20, 30  - Order: 000469-SHF [115110],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",5/4/2024,,Shufersal,,4104,,,,,0.000,,,,,EMCU8242728 + EMCU8433909 + TLLU7644911,40 FT.,USD,8,10,No,Completed,4104,,90616.32,16416,"90,616.320",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 14 Jan, 2025",,"246000094SI, 20, 30  - Order: 000469-SHF [115110],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",Paid,"By Udi Stryk on 20 Feb, 2025","246000094SI, 20, 30  - Order: 000469-SHF [115110],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",,20 | 30,18/3/2024,Supplied to Buyer | Supplied to Buyer,Completed,"90,616.320",0,Order: 000469-SHF [115110],#1225,"20  _   000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]  _  Order: 000469-SHF [115110], 30  _   000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]  _  Order: 000469-SHF [115110]",0.000,Completed,,,"-,100.000%",order_115110.PDF,17/3/2024 | 14/4/2024,,90616.32,Evergreen Line,FULL SET  DOCS- SHUFERSAL AMIGA- SFHA-1-1 3x40'.pdf,Delivered to Buyer,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",ABA.EXE.24077,16416,
"10  - Order: 000469-SHF [115110],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",13/4/2024,,Shufersal,,2736,,,,,0.000,,,,,,40 FT.,USD,8,10,No,Completed,2736,,60410.88,10944,"63,055.060",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 14 Jan, 2025",,"SI246000093, 10  - Order: 000469-SHF [115110],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000093, 10  - Order: 000469-SHF [115110],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",,10,26/3/2024,Supplied to Buyer,Completed,"60,410.880",0,Order: 000469-SHF [115110],#1224,"10  _   000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]  _  Order: 000469-SHF [115110]",0.000,Completed,,,"-,100.000%",order_115110.PDF,18/2/2024,,60410.88,Evergreen Line,ORG. DOCS- SHFA-1-2  2x40'-594400030022.pdf,Delivered to Buyer,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",ABA.EXE.24098,10944,
"1  - Order: 000512-MTL [],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",15/4/2024,,Middle Trade ltd.,,,,,,,861.84,1.50,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey  _ Middle Trade ltd.",,,,40 FT.,EUR,8,10,No,Supplied to Buyer,,,57456,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 19 Feb, 2025",,,,"By Success Management on 25 Feb, 2025",,,1,28/3/2024,Supplied to Buyer,Supplied to Buyer,,0,Order: 000512-MTL [],#1299,"1  _   000275 - 5L Sunflower oil [Kadoogu Yag san ve Tic As, Turkey][Shufersal]  _  Order: 000512-MTL []",0.000,Supplied to Buyer,Buyer,,"-,100.000%",,1/4/2024,,57456,,ABALIOGLU PROFORMA INVOICE - UML-2024.03.01 (ASHDOD PORT).pdf,In Transit,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",,,
"1  - Order: 000511-PRP [4],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",7/5/2024,,ProPlus,,4104,,חש מתאימה לחש' ספק,,,1351.8576,1.50,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey  _ ProPlus",,,"CAMU4969587, BMOU4619530, TGHU7396645 ",40 FT.,USD,8,10,No,Completed,4104,,90123.84,,"96,107.330",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 12 Feb, 2025",,"SI246000078, 1  - Order: 000511-PRP [4],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000078, 1  - Order: 000511-PRP [4],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",,1,19/4/2024,Supplied to Buyer,Completed,"90,123.840",0,Order: 000511-PRP [4],#1292,"1  _   000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]  _  Order: 000511-PRP [4]",,Completed,Buyer,,"-,100.000%",,19/4/2024,,90123.84,,307346.pdf,Delivered to Buyer,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",ABA.EXE.24121.,,
"1  - Order: 000507-PRP [3],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",22/3/2024,,ProPlus,,4104,,חש מתאימה לחש ספק,,,1359.2448000000002,1.50,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey  _ ProPlus",,,EGLV594400014280,40 FT.,EUR,21,10,No,Completed,4104,,90616.32,16416,"96,430.540",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 11 Feb, 2025",,"SI246000054, 1  - Order: 000507-PRP [3],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000054, 1  - Order: 000507-PRP [3],Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",,1,20/2/2024,Supplied to Buyer,Completed,"90,616.320",0,Order: 000507-PRP [3],#1288,"1  _   000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]  _  Order: 000507-PRP [3]",,Completed,Buyer,,"-,100.000%",,1/2/2024,,90616.32,,Full Set Docs. Pro Plus - PP-3 - 3x40' (1).pdf,Delivered to Buyer,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",ABA.EXE.24061,16416,
"1  - Order: 000456-SHF [Adanim ],Adanim Tea,",4/8/2024,,Shufersal,,,,,,,5250,3.50,"Adanim Tea,  _ Shufersal",,,,40 FT.,EUR,8,10,No,Completed,,,150000,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By SmartSuite Automation on 13 Nov, 2024",,,,"By SmartSuite Automation on 15 Jan, 2025",,,1,17/7/2024,Supplied to Buyer,Completed,,0,Order: 000456-SHF [Adanim ],#882,1  _     _  Order: 000456-SHF [Adanim ],,Completed,Supplier,0.55,"-,100.000%",,10/9/2024,,150000,Local shipment,,In Transit,"Adanim Tea,",,,
"160  - Order: 000406-SHF [115448],Ardo, Belgium",1/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1890,,,,,609.0942,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU6456771,40 FT.,EUR,8,10,No,Supplied to Buyer,1890,,20303.14,,"20,298.600",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 17 Mar, 2025",,"20051, 160  - Order: 000406-SHF [115448],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20051, 160  - Order: 000406-SHF [115448],Ardo, Belgium",,160,14/3/2025,Supplied to Buyer,Supplied to Buyer,"20,298.600",0,Order: 000406-SHF [115448],#1341,"160  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115448 (1).PDF,16/3/2025,29871,20303.14,,Billing Document - 9000030341.pdf,Delivered to Buyer,"Ardo, Belgium",9000030341,,
"150  - Order: 000406-SHF [115448],Ardo, Belgium",14/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1890,,,,,737.3835,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU 653 071-3,40 FT.,EUR,8,24,No,Supplied to Buyer,1890,,24579.45,,"24,579.450",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 17 Mar, 2025",,"20050, 150  - Order: 000406-SHF [115448],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20050, 150  - Order: 000406-SHF [115448],Ardo, Belgium",,150,13/3/2025,Supplied to Buyer,Supplied to Buyer,"24,579.450",0,Order: 000406-SHF [115448],#1343,"150  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115448 (1).PDF,16/3/2025,29871,24579.45,,9000030283 shufersal.pdf,Delivered to Buyer,"Ardo, Belgium",9000030283,,
